cover_category,texture_score,requested_payload_bytes,method,image_id,width,height,payload_original_bytes,embedded_bits,total_bpp,embedding_success,extraction_success,ber,mse,psnr,ssim,changed_pixels,changed_pixel_ratio,maximum_change,embedding_seconds,extraction_seconds,failure_reason
Mixed,0.2349741882832405,20000,Sequential Replacement,0831.png,2040,1356,20000,148320,0.05361790733992712,True,True,0.0,0.008973432047351881,68.60121782466793,0.9999419317466959,74468,2.692029614205564,1,0.0018701000371947885,8.249998791143298e-05,
Mixed,0.2349741882832405,20000,Sequential Matching,0831.png,2040,1356,20000,148320,0.05361790733992712,True,True,0.0,0.008973432047351881,68.60121782466793,0.9999423617661868,74468,2.692029614205564,1,0.23664279998047277,0.02864849998150021,
Mixed,0.2349741882832405,20000,Keyed Random Matching,0831.png,2040,1356,20000,148320,0.05361790733992712,True,True,0.0,0.008876188135037693,68.64853862131868,0.9999339768242876,73661,2.662856440511308,1,1.823830800014548,1.6014807000174187,
Mixed,0.2349741882832405,20000,Canny Synchronous,0831.png,2040,1356,20000,148320,0.05361790733992712,True,False,0.49814590075512405,0.008943427420132261,68.61576374019324,0.9999886888973731,74219,2.6830282260396783,1,0.30335489998105913,0.08610359998419881,BIT_ERRORS
Mixed,0.2349741882832405,50000,GuardianPixel,0831.png,2040,1356,50000,357632,0.12928451616634853,True,True,0.0,0.021544406848285038,64.79745819095314,0.9999529685376216,178327,6.446548383365146,1,11.746244800044224,10.05351390002761,
Mixed,0.2349741882832405,50000,Sequential Replacement,0831.png,2040,1356,50000,357632,0.12928451616634853,True,True,0.0,0.021465840515163783,64.81332462510831,0.9998574512432866,178139,6.439752154549136,1,0.003392999991774559,0.00023529998725280166,
Mixed,0.2349741882832405,50000,Sequential Matching,0831.png,2040,1356,50000,357632,0.12928451616634853,True,True,0.0,0.021465840515163783,64.81332462510831,0.9998579808922258,178139,6.439752154549136,1,0.6077790999552235,0.09554960002424195,
Mixed,0.2349741882832405,50000,Keyed Random Matching,0831.png,2040,1356,50000,357632,0.12928451616634853,True,True,0.0,0.02152850078084331,64.80066573741934,0.9998399108603572,178659,6.458550234252994,1,2.877316600002814,2.166959099995438,
Mixed,0.2349741882832405,50000,Canny Synchronous,0831.png,2040,1356,50000,357632,0.12928451616634853,False,False,,,,,,,,,,"ValueError: Capacity error: Insufficient edge capacity. Need 357632 bits, but only found 219699 edge pixels."
Mixed,0.19414335439712532,5000,GuardianPixel,0834.png,2040,1356,5000,40592,0.014674070218057724,True,True,0.0,0.0024551979100391388,74.22993855132502,0.9999952446489747,20358,0.7359448204060385,1,9.766014599998016,8.907795800012536,
Mixed,0.19414335439712532,5000,Sequential Replacement,0834.png,2040,1356,5000,40592,0.014674070218057724,True,True,0.0,0.0024450758671216767,74.2478802167775,0.9999686084901983,20291,0.733522760136503,1,0.001880900003015995,2.759997732937336e-05,
Mixed,0.19414335439712532,5000,Sequential Matching,0834.png,2040,1356,5000,40592,0.014674070218057724,True,True,0.0,0.0024450758671216767,74.2478802167775,0.999967744333966,20291,0.733522760136503,1,0.0780992999789305,0.004614999983459711,
Mixed,0.19414335439712532,5000,Keyed Random Matching,0834.png,2040,1356,5000,40592,0.014674070218057724,True,True,0.0,0.002454956909017294,74.23036487358108,0.9999791059684595,20373,0.7364870727051883,1,1.4231329999747686,1.333997699955944,
Mixed,0.19414335439712532,5000,Canny Synchronous,0834.png,2040,1356,5000,40592,0.014674070218057724,True,False,0.49113125739061886,0.0024343513216496036,74.26697105772784,0.9999978337038602,20202,0.7303053964948811,1,0.14542170002823696,0.06963769998401403,BIT_ERRORS
Mixed,0.19414335439712532,20000,GuardianPixel,0834.png,2040,1356,20000,148040,0.0535166869107525,True,True,0.0,0.008924026837873793,68.62519493168821,0.9999844557498151,73952,2.673376135114813,1,10.436359299987089,8.952761799970176,
Mixed,0.19414335439712532,20000,Sequential Replacement,0834.png,2040,1356,20000,148040,0.0535166869107525,True,True,0.0,0.008887394682553455,68.6430589357812,0.999873351548291,73754,2.6662184047660364,1,0.0019215999636799097,7.130001904442906e-05,
Mixed,0.19414335439712532,20000,Sequential Matching,0834.png,2040,1356,20000,148040,0.0535166869107525,True,True,0.0,0.008887394682553455,68.6430589357812,0.9998671111444256,73754,2.6662184047660364,1,0.23435980000067502,0.03030019998550415,
Mixed,0.19414335439712532,20000,Keyed Random Matching,0834.png,2040,1356,20000,148040,0.0535166869107525,True,True,0.0,0.008917037808240307,68.6285975281354,0.999924610970541,74000,2.6751113424720923,1,1.8077289999928325,1.5961507000029087,
Mixed,0.19414335439712532,20000,Canny Synchronous,0834.png,2040,1356,20000,148040,0.0535166869107525,True,False,0.49066468522021073,0.008915109800065553,68.62953664476119,0.999991669649528,73984,2.6745329400196654,1,0.29984509997302666,0.09290660003898665,BIT_ERRORS
Mixed,0.19414335439712532,50000,GuardianPixel,0834.png,2040,1356,50000,353504,0.12779223783908844,True,True,0.0,0.021271714192068174,64.85277871709948,0.9999598093222307,176122,6.366837295390132,1,11.648338600003626,10.15421820001211,
Mixed,0.19414335439712532,50000,Sequential Replacement,0834.png,2040,1356,50000,353504,0.12779223783908844,True,True,0.0,0.021296296296296296,64.84776280337267,0.9996934515235548,176732,6.388888888888888,1,0.0021569000091403723,0.00015679997159168124,
Mixed,0.19414335439712532,50000,Sequential Matching,0834.png,2040,1356,50000,353504,0.12779223783908844,True,True,0.0,0.021296296296296296,64.84776280337267,0.9996761859346881,176732,6.388888888888888,1,0.5458690000232309,0.09661339997546747,
Mixed,0.19414335439712532,50000,Keyed Random Matching,0834.png,2040,1356,50000,353504,0.12779223783908844,True,True,0.0,0.021308466847899436,64.8452815767883,0.9998206389914986,176833,6.39254005436983,1,2.7675367000047117,2.1630099999601953,
Mixed,0.19414335439712532,50000,Canny Synchronous,0834.png,2040,1356,50000,353504,0.12779223783908844,False,False,,,,,,,,,,"ValueError: Capacity error: Insufficient edge capacity. Need 353504 bits, but only found 340369 edge pixels."
Smooth,0.06458245933137516,5000,GuardianPixel,0844.png,1356,2040,5000,39888,0.014419573138990109,True,True,0.0,0.002428928798658106,74.27665576735119,0.9999890801830085,20144,0.7282086876048355,1,9.82888509996701,8.799252900003921,
Smooth,0.06458245933137516,5000,Sequential Replacement,0844.png,1356,2040,5000,39888,0.014419573138990109,True,True,0.0,0.00241410723581468,74.30323803106502,0.9999681345055027,20034,0.7242321707444039,1,0.0016830000095069408,2.7099973522126675e-05,
Smooth,0.06458245933137516,5000,Sequential Matching,0844.png,1356,2040,5000,39888,0.014419573138990109,True,True,0.0,0.00241410723581468,74.30323803106502,0.999964996990006,20034,0.7242321707444039,1,0.08148100000107661,0.0043928999803029,
Smooth,0.06458245933137516,5000,Keyed Random Matching,0844.png,1356,2040,5000,39888,0.014419573138990109,True,True,0.0,0.002415553241945746,74.30063746522741,0.9999640001387498,20046,0.7246659725837238,1,1.4296632999903522,1.335106500016991,
Smooth,0.06458245933137516,5000,Canny Synchronous,0844.png,1356,2040,5000,39888,0.014419573138990109,False,False,,,,,,,,,,"ValueError: Capacity error: Insufficient edge capacity. Need 39888 bits, but only found 12148 edge pixels."
Smooth,0.06458245933137516,20000,GuardianPixel,0844.png,1356,2040,20000,144768,0.052333853895540516,True,True,0.0,0.00871917596930611,68.72604918239655,0.9999450171867371,72267,2.612463126843658,1,10.31694950000383,8.90882920002332,
Smooth,0.06458245933137516,20000,Sequential Replacement,0844.png,1356,2040,20000,144768,0.052333853895540516,True,True,0.0,0.008750747103167717,68.71035227967643,0.9998771927301671,72620,2.6252241309503153,1,0.001884399971459061,7.080001523718238e-05,
Smooth,0.06458245933137516,20000,Sequential Matching,0844.png,1356,2040,20000,144768,0.052333853895540516,True,True,0.0,0.008750747103167717,68.71035227967643,0.9998620497947598,72620,2.6252241309503153,1,0.23643049999373034,0.02700969995930791,
Smooth,0.06458245933137516,20000,Keyed Random Matching,0844.png,1356,2040,20000,144768,0.052333853895540516,True,True,0.0,0.008739420055141034,68.7159774690728,0.9998696521559903,72526,2.62182601654231,1,1.8164600000018254,1.6069239999633282,
Smooth,0.06458245933137516,20000,Canny Synchronous,0844.png,1356,2040,20000,144768,0.052333853895540516,False,False,,,,,,,,,,"ValueError: Capacity error: Insufficient edge capacity. Need 144768 bits, but only found 12148 edge pixels."
Smooth,0.06458245933137516,50000,GuardianPixel,0844.png,1356,2040,50000,352632,0.12747700850251606,True,True,0.0,0.021278462220679816,64.85140122263934,0.9998229813873781,176210,6.370018508878478,1,11.926315799995791,10.07480659999419,
Smooth,0.06458245933137516,50000,Sequential Replacement,0844.png,1356,2040,50000,352632,0.12747700850251606,True,True,0.0,0.02125809763433397,64.85555963515888,0.9997041121225626,176415,6.37742929030019,1,0.0021875000093132257,0.00017179996939375997,
Smooth,0.06458245933137516,50000,Sequential Matching,0844.png,1356,2040,50000,352632,0.12747700850251606,True,True,0.0,0.02125809763433397,64.85555963515888,0.9996604321516918,176415,6.37742929030019,1,0.5605305000208318,0.09774579998338595,
Smooth,0.06458245933137516,50000,Keyed Random Matching,0844.png,1356,2040,50000,352632,0.12747700850251606,True,True,0.0,0.0212664121695876,64.85386134076683,0.9996824578530781,176484,6.379923650876279,1,2.6433966000331566,2.1512335000443272,
Smooth,0.06458245933137516,50000,Canny Synchronous,0844.png,1356,2040,50000,352632,0.12747700850251606,False,False,,,,,,,,,,"ValueError: Capacity error: Insufficient edge capacity. Need 352632 bits, but only found 12148 edge pixels."
Mixed,0.22296747451285043,5000,GuardianPixel,0848.png,2040,1536,5000,41280,0.013174019607843137,True,True,0.0,0.0021985421772875817,74.70945559237154,0.9999962845182173,20654,0.6591477736928104,1,13.949826699972618,11.43274650000967,
Mixed,0.22296747451285043,5000,Sequential Replacement,0848.png,2040,1536,5000,41280,0.013174019607843137,True,True,0.0,0.0022072652845860565,74.69225828019754,0.9999856250956348,20749,0.662179585375817,1,0.0021619999897666276,2.729997504502535e-05,
Mixed,0.22296747451285043,5000,Sequential Matching,0848.png,2040,1536,5000,41280,0.013174019607843137,True,True,0.0,0.0022072652845860565,74.69225828019754,0.9999856307636849,20749,0.662179585375817,1,0.08479110000189394,0.006287000025622547,
Mixed,0.22296747451285043,5000,Keyed Random Matching,0848.png,2040,1536,5000,41280,0.013174019607843137,True,True,0.0,0.002197052866285403,74.71239853669842,0.9999868364640877,20653,0.6591158598856209,1,1.5615250999690033,1.4767108000232838,
Mixed,0.22296747451285043,5000,Canny Synchronous,0848.png,2040,1536,5000,41280,0.013174019607843137,True,False,0.49377422480620153,0.002200882523148148,74.70483499100625,0.9999978927134466,20689,0.6602647569444444,1,0.15039510000497103,0.06832299998495728,BIT_ERRORS
Mixed,0.22296747451285043,20000,GuardianPixel,0848.png,2040,1536,20000,150968,0.0481796364379085,True,True,0.0,0.008019514229302832,69.0893229855914,0.9999861041980305,75252,2.4015778186274512,1,13.342540199984796,11.309242899995297,
Mixed,0.22296747451285043,20000,Sequential Replacement,0848.png,2040,1536,20000,150968,0.0481796364379085,True,True,0.0,0.008022811989379085,69.08753746022006,0.9999404301158169,75417,2.4068435968137254,1,0.0020459999796003103,7.379997987300158e-05,
Mixed,0.22296747451285043,20000,Sequential Matching,0848.png,2040,1536,20000,150968,0.0481796364379085,True,True,0.0,0.008022811989379085,69.08753746022006,0.9999404342666519,75417,2.4068435968137254,1,0.24439710000297055,0.02853730000788346,
Mixed,0.22296747451285043,20000,Keyed Random Matching,0848.png,2040,1536,20000,150968,0.0481796364379085,True,True,0.0,0.008054938555283225,69.07018128987065,0.9999516476910618,75719,2.4164815665849675,1,1.9826370000373572,1.7465465000132099,
Mixed,0.22296747451285043,20000,Canny Synchronous,0848.png,2040,1536,20000,150968,0.0481796364379085,True,False,0.4973636797202056,0.008046002689270153,69.07500187475448,0.9999924168323414,75635,2.4138008067810457,1,0.3041836000047624,0.09316819999366999,BIT_ERRORS
