cover_category,texture_score,requested_payload_bytes,method,image_id,width,height,payload_original_bytes,embedded_bits,total_bpp,embedding_success,extraction_success,ber,mse,psnr,ssim,changed_pixels,changed_pixel_ratio,maximum_change,embedding_seconds,extraction_seconds,histogram_l1_mean,histogram_chi_square_mean,cover_lsb_chi_square_statistic,stego_lsb_chi_square_statistic,lsb_chi_square_statistic_change,absolute_lsb_chi_square_statistic_change,cover_rs_combined_imbalance,stego_rs_combined_imbalance,rs_combined_imbalance_change,absolute_rs_combined_imbalance_change,smooth_pixel_fraction,smooth_region_change_ratio,mean_modified_position_suitability,mean_image_suitability,suitability_gain,failure_reason
Mixed,0.22175785050810143,500,GuardianPixel,0861.png,2040,1356,500,6680,0.0024148302388802127,True,True,0.0,0.0003930726666281065,82.1860751584026,0.9999989742223074,3260,0.11784949968187866,1,10.805422400007956,9.22664629999781,0.0002301559758613416,5.416487592461193e-08,644864.3890237429,644575.7721879265,-288.6168358164141,288.6168358164141,0.2815771588871537,0.28156125281971195,-1.5906067441728844e-05,1.5906067441728844e-05,0.25,0.09202453987730061,0.7295775413513184,0.2991887331008911,2.438519438181161,
Mixed,0.22175785050810143,500,Sequential Replacement,0861.png,2040,1356,500,6680,0.0024148302388802127,True,True,0.0,0.0003974106850213045,82.13840821236016,0.9999990663299295,3298,0.11922320550639134,1,0.0016436000005342066,2.2600055672228336e-05,0.00031860335087820256,1.040057802020397e-06,644864.3890237429,642237.1485088607,-2627.2405148821417,2627.2405148821417,0.2815771588871537,0.28125614552605704,-0.0003210133610966337,0.0003210133610966337,0.25,0.41934505761067314,0.31446021795272827,0.2991887331008911,1.051042981109477,
Mixed,0.22175785050810143,500,Sequential Matching,0861.png,2040,1356,500,6680,0.0024148302388802127,True,True,0.0,0.0003974106850213045,82.13840821236016,0.9999990073877356,3298,0.11922320550639134,1,0.038211099978070706,0.0008706999942660332,0.00031281932635394174,8.078368076058195e-07,644864.3890237429,643182.4949840179,-1681.8940397249535,1681.8940397249535,0.2815771588871537,0.2812149343513216,-0.0003622245358320675,0.0003622245358320675,0.25,0.41934505761067314,0.31446021795272827,0.2991887331008911,1.051042981109477,
Mixed,0.22175785050810143,500,Keyed Random Matching,0861.png,2040,1356,500,6680,0.0024148302388802127,True,True,0.0,0.00040765322844968865,82.02789474756536,0.9999974576283489,3383,0.1222959685349066,1,2.077678899979219,1.7357994000194594,0.0001771357510555815,8.165495990973572e-08,644864.3890237429,644323.5930960032,-540.7959277397022,540.7959277397022,0.2815771588871537,0.2811910752501591,-0.00038608363699460524,0.00038608363699460524,0.25,0.243275199527047,0.30348071455955505,0.2991887331008911,1.0143453980174335,
Mixed,0.22175785050810143,500,Canny Synchronous,0861.png,2040,1356,500,6680,0.0024148302388802127,True,False,0.36991017964071854,0.0003995796942179035,82.11476950666281,0.9999997619756519,3316,0.11987390826537103,1,0.12008269998477772,0.06463670002995059,0.00012074151194401088,3.5195328732808235e-08,644864.3890237429,644840.0237171691,-24.365306573803537,24.365306573803537,0.2815771588871537,0.28162126207415117,4.4103186997490607e-05,4.4103186997490607e-05,0.25,0.0,0.6628398299217224,0.2991887331008911,2.2154571900212647,BIT_ERRORS
Mixed,0.22175785050810143,2000,GuardianPixel,0861.png,2040,1356,2000,18168,0.0065677598473017525,True,True,0.0,0.0011013746698286002,77.71145276810684,0.9999981172041611,9135,0.33023165018219675,1,11.406736799981445,9.450536500022281,0.0004053637187421671,1.700357816885212e-07,644864.3890237429,644300.5497039522,-563.8393197907135,563.8393197907135,0.2815771588871537,0.2815099196020591,-6.723928509455579e-05,6.723928509455579e-05,0.25,0.05396825396825397,0.8097850680351257,0.2991887331008911,2.706602817700537,
Mixed,0.22175785050810143,2000,Sequential Replacement,0861.png,2040,1356,2000,18168,0.0065677598473017525,True,True,0.0,0.0010973981529681686,77.72716135968673,0.9999951210460477,9107,0.32921944589045055,1,0.0017742000054568052,1.680001150816679e-05,0.0008075944242003523,8.914330308337192e-06,644864.3890237429,637143.5013511525,-7720.887672590325,7720.887672590325,0.2815771588871537,0.2805953207241599,-0.0009818381629937978,0.0009818381629937978,0.25,0.41100252552981226,0.3021561801433563,0.2991887331008911,1.0099183114675128,
Mixed,0.22175785050810143,2000,Sequential Matching,0861.png,2040,1356,2000,18168,0.0065677598473017525,True,True,0.0,0.0010973981529681686,77.72716135968673,0.999994042325245,9107,0.32921944589045055,1,0.05325970001285896,0.0018849000334739685,0.0007504771820232462,6.948662018836054e-06,644864.3890237429,639849.4698968759,-5014.919126866967,5014.919126866967,0.2815771588871537,0.2804066169240558,-0.0011705419630979041,0.0011705419630979041,0.25,0.41100252552981226,0.3021561801433563,0.2991887331008911,1.0099183114675128,
Mixed,0.22175785050810143,2000,Keyed Random Matching,0861.png,2040,1356,2000,18168,0.0065677598473017525,True,True,0.0,0.001091855129465749,77.7491534213967,0.9999932032336605,9061,0.3275565388397247,1,1.3516079999972135,1.3940193000016734,0.00037379258488055427,4.0737321420552353e-07,644864.3890237429,643495.8218725268,-1368.5671512160916,1368.5671512160916,0.2815771588871537,0.28064520793568165,-0.000931950951472027,0.000931950951472027,0.25,0.2448957068756208,0.29907768964767456,0.2991887331008911,0.9996288514876023,
Mixed,0.22175785050810143,2000,Canny Synchronous,0861.png,2040,1356,2000,18168,0.0065677598473017525,True,False,0.4450682518714223,0.00109414463917327,77.74005624023431,0.9999993268602898,9080,0.32824339175198103,1,0.11919709999347106,0.06832009996287525,0.0002156959145506786,1.1199949654351835e-07,644864.3890237429,644825.943868999,-38.44515474385116,38.44515474385116,0.2815771588871537,0.2816581352304934,8.097634333970039e-05,8.097634333970039e-05,0.25,0.0,0.6326205134391785,0.2991887331008911,2.114452997218478,BIT_ERRORS
